risk_id,title,event_date,published_date,country,region,industry,project_type,risk_category,risk_subcategory,event_summary,source_type,source_name,source_url,source_tier,affected_entity,confidence,verification_grade,source_candidate_id,all_source_ids
RS-001,ICE worksite enforcement raid at HL-GA battery plant (Hyundai/LG Energy Solution JV),2025-09-04,2025-09-11,United States,"Georgia (Ellabell, Bryan County)",EV battery cell manufacturing,new_facility_construction,labor,immigration_enforcement_action,"DHS/ICE conducted its largest-ever single-site worksite enforcement operation at the HL-GA battery plant site, detaining approximately 475 workers (300+ South Korean nationals), most performing specialized equipment installation/commissioning work.",news,CNN Business,https://www.cnn.com/2025/09/11/business/hyundai-raid-plant-delay-ceo,2,HL-GA Battery Company LLC (Hyundai Motor Group + LG Energy Solution),high,A,V2-001,S001;S002;S003;S004;S005;S006;S007
RS-002,"Micron Clay, NY megafab construction delayed 2-3 years",2025-11,,United States,"New York (Clay, Onondaga County)",semiconductor fab (memory/DRAM),new_facility_construction,labor / contractor-construction,skilled_labor_shortage_and_construction_cycle_length,Micron's Final Environmental Impact Statement disclosed construction of the first Clay fab would be delayed; Onondaga County Executive Ryan McMahon attributed it to 'longer construction cycles and labor shortages'.,trade_press,Construction Dive,https://www.constructiondive.com/news/micron-delay-construction-new-york-megafab/805622/,3,Micron Technology,high,A,V2-002,S008;S009;S010;S011;S012
RS-003,Texas Winter Storm Uri forces Samsung Austin fab offline,2021-02-15,2021-02-23,United States,Texas (Austin),semiconductor fab,operating_facility_disruption,weather / natural disaster,winter_storm_grid_emergency,"Severe winter storm Uri caused a Texas grid emergency; Austin Energy forced an emergency shutdown of major electricity users, including Samsung's Austin semiconductor fab, to preserve power for homes and hospitals.",local_news,Austin American-Statesman,https://www.statesman.com/story/business/2021/02/23/samsungs-austin-fab-still-quiet-after-outages/4549060001/,4,Samsung Electronics (Austin Semiconductor),high,A,V2-003,S013;S014;S015;S016;S017
RS-004,Rivian Georgia EV plant construction paused for capital allocation,2024-03,,United States,Georgia (Social Circle / Rutledge),EV assembly,new_facility_construction,contractor/construction (financial/capital-allocation driver),capital_allocation_pause,"Rivian paused construction of its $5B Georgia EV plant to conserve capital, shifting planned R2 model production to its existing Normal, Illinois plant instead.",trade_press,Engineering News-Record,https://www.enr.com/articles/58290-rivian-pauses-5b-electric-vehicle-plant-in-georgia,3,Rivian Automotive,medium,B,V2-004,S018;S019;S020;S021;S022
RS-005,"Fire at Renesas Naka Factory (N3 building, 300mm automotive-chip line)",2021-03-19,,Japan,Ibaraki Prefecture (Hitachinaka),semiconductor fab (automotive microcontrollers),operating_facility_disruption,equipment (industrial fire),industrial_fire,"A fire broke out at 02:47 JST in the N3 building (300mm wafer line) of Renesas' Naka Factory, extinguished by 08:12 JST the same day; overcurrent ignition in plating equipment damaged ~2% of the fab's manufacturing equipment.",official,Renesas official press release,https://www.renesas.com/en/about/press-room/update-9-notice-regarding-semiconductor-manufacturing-factory-naka-factory-fire-production-capacity,1,Renesas Electronics,high,A,V2-005,S023;S024;S025;S026;S027
RS-006,TSMC Arizona Fab 1 N4 production delay (labor shortage),2023-07-20,2023-07-20,United States,Arizona (Phoenix),semiconductor fab,new_facility_construction,labor,skilled_labor_shortage,"TSMC announced it would delay N4-process chip production at its first Arizona fab from a late-2024 target to 2025, citing a shortage of skilled specialized construction/installation labor.",wire,Bloomberg,https://www.bloomberg.com/news/articles/2023-07-20/tsmc-to-delay-us-fab-production-until-2025-over-worker-shortages,2,TSMC,medium,B,V3-001,S028;S029;S030;S031
RS-007,GM North American plants paused by global semiconductor shortage (April 2021 wave),2021-04-08,2021-04-08,United States / Mexico,Indiana / Missouri / Guanajuato,automotive assembly,operating_facility_disruption,supply chain / logistics,semiconductor_shortage,"The global semiconductor shortage forced GM to pause production at Fort Wayne (IN), Silao (Mexico), and Wentzville (MO) assembly plants; GM cited 'continued parts shortages caused by semiconductor supply constraints'.",wire,Washington Post,https://www.washingtonpost.com/technology/2021/04/08/gm-manufacturing-chip-shortage/,2,General Motors,high,A,V3-002,S032;S033;S034;S035
RS-008,Ford Kansas City Assembly plant paused by semiconductor shortage,2021-05-17,,United States,Missouri (Claycomo),automotive assembly,operating_facility_disruption,supply chain / logistics,semiconductor_shortage,"Ford's Kansas City Assembly Plant halted F-150 and Transit van production for two weeks starting May 17, 2021, and again in July 2021, due to the global semiconductor shortage.",local_news,WHAS11,https://www.whas11.com/article/news/local/ford-gm-halt-some-production-chip-shortage-worsens/417-990ce85a-9990-48cc-8d7d-0bd04c34d40d,4,Ford Motor Company,high,A,V3-003,S036;S037;S038;S039
RS-009,Ford Saarlouis (Germany) Focus plant idled by semiconductor shortage,2021-01-15,2021-01-15,Germany,Saarland (Saarlouis),automotive assembly,operating_facility_disruption,supply chain / logistics,semiconductor_shortage,"Ford idled its Saarlouis, Germany plant (Ford Focus production, ~6,200 workers) from January 18 to February 19, 2021 due to the global semiconductor shortage.",wire,Bloomberg,https://www.bloomberg.com/news/articles/2021-01-15/ford-halts-focus-car-plant-for-full-month-due-to-chip-shortage,2,"Ford Motor Company (Ford-Werke, Saarlouis)",high,A,V3-004,S040;S041;S042;S043
RS-010,"VinFast Chatham County, NC EV plant stalls and is terminated by the state",2022-03,2026-05-21,United States,North Carolina (Chatham County),EV assembly,new_facility_construction,regulation/permitting + contractual default,incentive_agreement_default,"VinFast's Chatham County 'Moncure megasite' EV plant, promised in March 2022 (7,500 jobs, 2024 production start), stalled after 2023 site clearing; the county terminated its incentive agreement and the state sued to reclaim the site in 2026.",news,NC Newsline,https://ncnewsline.com/2026/05/21/north-carolina-slams-brakes-on-ev-megafactory-deal-after-years-of-delay/,3,VinFast Manufacturing US LLC,medium,B,V3-005,S044;S045;S046;S047;S048
