case_id,source_risk_id,project_context,risk_category__value,risk_category__evidence_status,risk_category__source_id,risk_cause__value,risk_cause__evidence_status,risk_cause__source_id,affected_tasks,delay_value,delay_evidence_status,delay_source_id,delay_unit,delay_description_value,delay_description_evidence_status,delay_description_source_id,cost_value,cost_evidence_status,cost_source_id,cost_currency,response_value,response_evidence_status,response_source_id,sources,ground_truth_quality,usable_metrics,exclusion_notes
V2-001,RS-001,"HL-GA Battery Company LLC (Hyundai Motor Group + LG Energy Solution EV battery cell joint venture), Ellabell, Bryan County, Georgia, USA; adjacent to Hyundai Motor Group Metaplant America.",labor (immigration enforcement action),OBSERVED,S001,"DHS/ICE conducted its largest-ever single-site worksite enforcement operation at the HL-GA site on 2025-09-04, detaining ~475 workers (300+ South Korean nationals), most performing specialized equipment installation/commissioning work.",OBSERVED,S001,Final equipment-installation and commissioning phase [OBSERVED/S001],2-3,OBSERVED,S001,months,"Hyundai CEO Jose Munoz's own quoted estimate (2025-09-11); actual plant opening occurred April 2026, consistent with a multi-month slip though the exact pre-raid baseline target date is disputed across sources.",OBSERVED,S001,,NOT_AVAILABLE,,,Hyundai/LG did not cancel or scale back the project; Hyundai separately announced continuation of a $2.7B expansion of the wider Georgia complex despite the raid. The facility was reported physically complete Dec 2025 and opened April 2026 with 500+ employees.,OBSERVED,S001,S001;S002;S003;S004;S005;S006;S007,A,"{""risk_classification"": ""usable"", ""affected_task_retrieval"": ""partially_usable"", ""delay_MAE"": ""partially_usable"", ""evidence_retrieval"": ""usable"", ""response_evaluation"": ""usable""}","None for this case's included metrics; original pre-raid target date is disputed across sources (see source_conflicts), which limits delay_MAE to partially_usable rather than usable."
V2-002,RS-002,"Micron Clay Megafab (Fab 1 of a planned multi-fab campus), Clay, New York (Onondaga County), USA.",labor / contractor-construction,OBSERVED,S002,Micron's Final Environmental Impact Statement (released Nov 2025) disclosed the first Clay fab's construction would be delayed; Onondaga County Executive Ryan McMahon attributed it to 'longer construction cycles and labor shortages' (one local report additionally cites 'labor and supply chain issues').,OBSERVED,S002,Concrete pouring and foundation work for Fab 1 (postponed to Q2 2026) [OBSERVED/S002] | Site clearing/grading for the broader campus (continues on original 2025 schedule) [OBSERVED/S002],2-3,OBSERVED,S002,years,"First fab opening shifted from mid/late-2028 to 2030 (Q3 2030 per some outlets); directly attributed to a named county official and the project's own Final EIS document, corroborated across 5 independent outlets.",OBSERVED,S002,,NOT_AVAILABLE,,,"Site-clearing and grading work for the wider campus continues in 2025 on schedule even though concrete/foundation work for Fab 1 specifically is deferred to Q2 2026 -- a phased, partial-continuation response rather than a full project halt.",OBSERVED,S002,S008;S009;S010;S011;S012,A,"{""risk_classification"": ""partially_usable"", ""affected_task_retrieval"": ""usable"", ""delay_MAE"": ""usable"", ""evidence_retrieval"": ""usable"", ""response_evaluation"": ""usable""}",None; this is one of the strongest cases in the dataset.
V2-003,RS-003,"Samsung Austin Semiconductor fab (operating facility), Austin, Texas, USA.",weather / natural disaster,OBSERVED,S003,Winter Storm Uri (Feb 2021) caused a Texas grid emergency; Austin Energy forced an emergency shutdown of major electricity users including Samsung's Austin fab to preserve power for homes and hospitals.,OBSERVED,S003,Ongoing wafer production/output at the operating fab (not a construction WBS milestone) [OBSERVED/S003],6,INFERRED,S003,weeks,"Samsung spokesperson statement (2021-03-30) said the fab had 'reached production close to normal levels... as of last week'; the '~6 weeks' figure is an INFERRED calculation (statement date minus storm date), since no exact day-count was directly quoted. Full normalization was separately stated by Samsung as occurring within Q2 2021.",INFERRED,S003,at least $268 million,OBSERVED,S003,USD,"Phased equipment inspection, reconfiguration, and restart, per Samsung's own public statement ('efforts to resume operations... inspect and reconfigure the facility'). No more granular technical mitigation plan was found.",OBSERVED,S003,S013;S014;S015;S016;S017,A,"{""risk_classification"": ""usable"", ""affected_task_retrieval"": ""partially_usable"", ""delay_MAE"": ""usable"", ""evidence_retrieval"": ""usable"", ""response_evaluation"": ""partially_usable""}","affected_task_retrieval and response_evaluation are partially_usable only: this is an operating-facility production disruption, not a construction-project WBS milestone, and the response detail found is general rather than granular."
V2-004,RS-004,"Rivian Georgia EV Plant (Stanton Springs North), Social Circle / Rutledge, Georgia, USA.","contractor/construction (true driver: financial/capital-allocation decision, not a clean fit to the 8-category taxonomy)",OBSERVED,S004,"Rivian paused construction in March 2024 to conserve capital, shifting planned R2 model production to its existing Normal, Illinois plant instead.",OBSERVED,S004,"Coarse-level only: pre-construction site work vs. vertical construction vs. production -- NOT usable at fine WBS-task granularity, since 'pause -> loan finalized (Jan 2025) -> ceremonial groundbreaking (Sep 2025) -> site grading -> vertical construction (2026) -> production (late 2028)' spans 5+ imprecisely-dated, overlapping milestones. [INFERRED/S004]",,NOT_AVAILABLE,,not_applicable,"No source states one authoritative delay figure. A defensible range: ~18 months (pause to ceremonial groundbreaking) or ~2+ years (pause to actual vertical construction), but this is an INFERRED range, not an OBSERVED single value.",INFERRED,S004,,NOT_AVAILABLE,,,"Rivian secured, then later restructured, DOE financing ($6.6B conditional commitment Jan 2025, later 'up to $4.5B'); separately announced an 'optimized capacity plan' raising planned annual capacity from 200,000 to 300,000 vehicles.",OBSERVED,S004,S018;S019;S020;S021;S022,B,"{""risk_classification"": ""partially_usable"", ""affected_task_retrieval"": ""not_usable"", ""delay_MAE"": ""not_usable"", ""evidence_retrieval"": ""usable"", ""response_evaluation"": ""partially_usable""}","affected_task_retrieval and delay_MAE are NOT_USABLE: the 'restart' is defined differently across at least 5 overlapping, imprecisely-dated milestones, and the DOE loan amount itself is reported inconsistently over time. Usable only for risk_classification (partial), evidence_retrieval, and response_evaluation (partial)."
V2-005,RS-005,"Renesas Naka Factory, N3 building (300mm automotive-chip production line), Hitachinaka, Ibaraki Prefecture, Japan.",equipment (industrial fire; not a clean fit to the 8-category taxonomy),OBSERVED,S005,"Overcurrent ignition in plating equipment (casing/tank materials with low heat resistance) started a fire at 02:47 JST on 2021-03-19, extinguished by 08:12 JST the same day; damaged ~2% of the fab's manufacturing equipment (~600 sq m, ~5% of the cleanroom).",OBSERVED,S005,N3 building's 300mm production line specifically (not the whole factory) [OBSERVED/S005],"{""partial_restart_days"": 29, ""full_recovery_days"": 97, ""shipment_normalization_weeks"": 18}",OBSERVED,S005,days (primary); weeks (shipment normalization),"29 days fire-to-partial-restart (<10% of pre-fire capacity, 2021-03-19 to 2021-04-17); 97 days fire-to-100%-production (2021-03-19 to 2021-06-24); ~18 weeks to expected shipment-level normalization (3rd week of July 2021). All three figures sourced directly to Renesas's own numbered official updates, independently corroborated by Bloomberg and Embedded Computing Design.",OBSERVED,S005,approximately 17 billion yen (~$156 million) per month,OBSERVED,S005,JPY/USD,"Renesas published a sequential, numbered public disclosure series (UPDATE 1 through at least UPDATE 10) tracking capacity restoration in stages; pursued an expedited equipment-replacement/requalification effort as the substantive recovery action.",OBSERVED,S005,S023;S024;S025;S026;S027,A,"{""risk_classification"": ""partially_usable"", ""affected_task_retrieval"": ""usable"", ""delay_MAE"": ""usable"", ""evidence_retrieval"": ""usable"", ""response_evaluation"": ""usable""}",None; this is the best-documented case in the dataset (official company source with a full day-by-day recovery curve).
V3-001,RS-006,"TSMC Arizona Fab 1 (Phoenix), Arizona, USA.",labor,OBSERVED,S006,"TSMC announced (2023-07-20) it would delay N4-process production at its first Arizona fab from a late-2024 target to 2025, citing a shortage of skilled specialized construction/installation labor.",OBSERVED,S006,Coarse level only (production-start milestone); fine WBS-task-level attribution not established. [INFERRED/S006],12,INFERRED,S006,months,"The 12-month figure is the ANNOUNCED delay per the 2023 Bloomberg report (late-2024 to 2025), not a confirmed realized outcome: TSMC's own official webpage claims high-volume production 'started in Q4 2024' (matching the ORIGINAL pre-delay target), while a dated 2024-12-13 CNBC report describes the fab as still in pilot/sample-wafer production at that time. This conflict is UNRESOLVED (see source_conflicts) -- marked INFERRED rather than OBSERVED for this reason.",INFERRED,S006,,NOT_AVAILABLE,,,"TSMC hired 900+ local workers by Q1 2023, sent experienced Taiwanese technicians to train local staff, and later reached a project labor agreement with the Arizona Building and Construction Trades Council.",OBSERVED,S006,S028;S029;S030;S031,B,"{""risk_classification"": ""usable"", ""affected_task_retrieval"": ""partially_usable"", ""delay_MAE"": ""not_usable"", ""evidence_retrieval"": ""usable"", ""response_evaluation"": ""usable""}",delay_MAE is NOT_USABLE: the core numeric delay claim is contested by unresolved conflicting primary-source vs. press evidence about whether the delay was actually realized in final output timing.
V3-002,RS-007,"General Motors North American assembly plants (Fort Wayne IN, Silao Mexico, Wentzville MO) -- April 2021 shutdown wave.",supply chain / logistics,OBSERVED,S007,"The global semiconductor shortage forced GM to pause production at Fort Wayne, Silao, and Wentzville per GM's 2021-04-08 announcement, attributed to 'continued parts shortages caused by semiconductor supply constraints from international markets experiencing COVID-19-related restrictions.'",OBSERVED,S007,"Silverado/Sierra HD truck line (Fort Wayne, Silao) [OBSERVED/S007] | Midsize truck and full-size van lines (Wentzville) [OBSERVED/S007]","{""fort_wayne_weeks"": 1, ""silao_weeks"": 1, ""wentzville_weeks"": 2}",OBSERVED,S007,weeks,"Fort Wayne and Silao paused 1 week; Wentzville paused 2 weeks, per GM's dated announcement, cross-confirmed via Washington Post, CNBC, and WANE 15.",OBSERVED,S007,$1.5-2 billion (company-wide 2021 operating profit impact from the broader chip shortage),OBSERVED,S007,USD,GM prioritized available semiconductor supply toward its most profitable/high-demand vehicles; no finer-grained mitigation detail was found.,OBSERVED,S007,S032;S033;S034;S035,A,"{""risk_classification"": ""usable"", ""affected_task_retrieval"": ""usable"", ""delay_MAE"": ""usable"", ""evidence_retrieval"": ""usable"", ""response_evaluation"": ""partially_usable""}","response_evaluation is partially_usable only: the response is a general strategy statement, not a granular mitigation plan. Note also this event was part of a chronic, recurring 2021 disruption pattern (repeat waves in July and September), not a single isolated event -- see source_conflicts."
V3-003,RS-008,"Ford Kansas City Assembly Plant (Claycomo, Missouri), USA -- F-150 / Transit production.",supply chain / logistics,OBSERVED,S008,"The global semiconductor shortage forced Ford to halt F-150 and Transit van production at its Kansas City plant, per Ford's own statement: 'The global semiconductor shortage continues to affect global automakers and other industries in all parts of the world.'",OBSERVED,S008,F-150 pickup line [OBSERVED/S008] | Transit cargo van line [OBSERVED/S008],"{""may_shutdown_weeks"": 2, ""july_f150_weeks"": 2, ""july_transit_weeks"": 1}",OBSERVED,S008,weeks,"Plant halted production for 2 weeks starting May 17, 2021; halted again starting July 12, 2021 (F-150, 2 weeks) and July 19, 2021 (Transit, 1 week), corroborated across WHAS11, Fox4KC, and CBS News.",OBSERVED,S008,,NOT_AVAILABLE,,,Ford prioritized completing partially-assembled vehicles awaiting missing chip-dependent parts rather than halting all output; no more specific chip-allocation strategy for this plant was found.,OBSERVED,S008,S036;S037;S038;S039,A,"{""risk_classification"": ""usable"", ""affected_task_retrieval"": ""usable"", ""delay_MAE"": ""usable"", ""evidence_retrieval"": ""usable"", ""response_evaluation"": ""partially_usable""}","response_evaluation is partially_usable only: response detail found is general, not plant-specific. IMPORTANT: this case corrects a STEP 1 error (L3-017) that had wrongly merged this US event with a German event (see V3-004 / source_conflicts)."
V3-004,RS-009,"Ford Saarlouis Assembly Plant (Ford Focus production line), Saarlouis, Saarland, Germany.",supply chain / logistics,OBSERVED,S009,"The global semiconductor shortage forced Ford to idle its Saarlouis, Germany plant (Focus production, ~6,200 workers) from January 18 to February 19, 2021.",OBSERVED,S009,Focus-model final assembly line [OBSERVED/S009],32,OBSERVED,S009,days,"Production halted Jan 18 - Feb 19, 2021 (32 days), directly dated and corroborated across at least 4 independent outlets (Bloomberg, CNN, fordauthority.com, Nasdaq/Reuters).",OBSERVED,S009,,NOT_AVAILABLE,,,,NOT_AVAILABLE,,S040;S041;S042;S043,A,"{""risk_classification"": ""usable"", ""affected_task_retrieval"": ""usable"", ""delay_MAE"": ""usable"", ""evidence_retrieval"": ""usable"", ""response_evaluation"": ""not_usable""}",response_evaluation is NOT_USABLE: no plant-specific mitigation action was found in the sources reviewed (Ford's broader US chip-prioritization strategy was not tied to Saarlouis specifically). This case is a NEW record split out of STEP 1's flawed L3-017 (which incorrectly labeled this German event's country as 'USA').
V3-005,RS-010,"VinFast Manufacturing US LLC plant, Chatham County 'Moncure megasite', North Carolina, USA.","regulation/permitting, compounded with contractual default / financial (capital-allocation) factors",OBSERVED,S010,"VinFast's Chatham County plant, promised March 2022 (7,500 jobs, 2024 production), stalled after clearing trees in 2023 and ceasing further work by December 2024, citing a global EV sales slowdown affecting financing.",OBSERVED,S010,Site was cleared of trees in 2023 (early WBS-equivalent stage); no further construction occurred after December 2024 -- the project stalled between 'site clearing' and 'vertical construction' and never resumed. [OBSERVED/S010],,NOT_AVAILABLE,,not_applicable,"Not usable as a single delay figure: the project's status changed from 'delayed' to 'terminated/defaulted' -- Chatham County formally terminated its incentive agreement (2026-07-27) and the State of North Carolina sued to reclaim the site (2026-05-21), a different outcome category than a completed-but-late project.",OBSERVED,S010,$400 million in incentives forfeited (approx.),OBSERVED,S010,USD,"VinFast repeatedly requested schedule extensions (first 2024-05-10, citing a global EV sales slowdown affecting its financing) and ultimately proposed a drastically scaled-back project (from 7,500 to approximately 1,400 jobs) rather than completing the original plan.",OBSERVED,S010,S044;S045;S046;S047;S048,B,"{""risk_classification"": ""partially_usable"", ""affected_task_retrieval"": ""usable"", ""delay_MAE"": ""not_usable"", ""evidence_retrieval"": ""usable"", ""response_evaluation"": ""usable""}","delay_MAE is NOT_USABLE: the project outcome is contract termination/legal dispute, not a late-but-completed project, so there is no well-defined 'delay in days' to measure. Usable for risk_classification (partial), affected_task_retrieval, evidence_retrieval, and response_evaluation."
